"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","test_part","correct_response","test_number","test_vector","correct","randomID","subject","image_switchboard","scene_order"
"true","691","fullscreen","0","1695","0.0-0.0","","","","","","","","","","",""
"","1178","html-button-response","1","2877","0.0-1.0","<p style=""text-align: justify;margin-left: 15%; margin-right:15%"">You are participating in an experiment at the Vision Lab of the Department of Cognitive Science, Central European University.  One of our main questions is what kind of representations we can create about our visual environment and how these representations influence our behavior. At our lab we use multiple methods, for example behavioral experiments and computational models. In this experiment you will observe scenes consisting of abstract shapes and answer simple questions about them. <br><br>At the beginning and throughout the experiment you will receive precise information about what to do. The experiment takes about 20 minutes in total. <br><br>The test is voluntary, and you can withdraw your participation at any time. We treat your personal information confidentially. <br>Only those people who work on this research project have access to your data. We will work with group level statistics. We will only report the results of the group in scientific publications and conferences. This research was approved by the Hungarian Psychological Research Ethics Committee.<br><br>If you have any further questions about the study, you can contact the experimenter, Beata Tunde Szabo, PhD Student. Contact: 1051 Nador u. 11. E-mail: szabo_beata-tunde@phd.ceu.edu <br><br>By pressing the button below you indicate that you read this information, found it sufficent, and you consent to participate in the experiment. <br><br> </p>","0","","","","","","","","",""
"","820","html-button-response","2","3699","0.0-2.0","<p style=""text-align: justify;margin-left: 15%; margin-right:15%""> This is your practice session. You will see a checkerboard with random simple shapes appearing in different positions in the checkerboard. Your task is simply to observe the patterns so that you would be able to answer some questions about the sequence after the practice session.  The session will last for about 8 minutes.  Please, pay attention to EACH display! <br><br>Occasionally, there will be an attention check asking you to press the spacebar. ","0","","","","","","","","",""
"","","vsl-grid-scene-snap-grid-only","3","4702","0.0-3.0-0.0-0.0-0.0","justgrid","","","","","","","","","",""
"","","vsl-grid-scene-snap","4","6706","0.0-3.0-0.0-0.0-1.0","[[""img/obj12.png"",""img/obj9.png"",0],[0,""img/obj5.png"",""img/obj2.png""],[""img/obj7.png"",0,""img/obj10.png""]]","","","","","","","","","",""
"","","vsl-grid-scene-snap-grid-only","5","7709","0.0-3.0-0.0-1.0-0.0","justgrid","","","","","","","","","",""
"","","vsl-grid-scene-snap","6","9712","0.0-3.0-0.0-1.0-1.0","[[0,0,""img/obj1.png""],[0,""img/obj5.png"",""img/obj6.png""],[""img/obj7.png"",""img/obj12.png"",""img/obj9.png""]]","","","","","","","","","",""
"","null","vsl-grid-scene","7","12718","0.0-3.0-1.0-0.0-0.0","","null","","","","","","","","",""
"","130","vsl-grid-scene","8","12855","0.0-3.0-1.0-0.1-0.1",""," ","","","","","","","","",""
"","null","html-keyboard-response","9","13859","0.0-3.0-1.0-1.0"," ","null","","","","","","","","",""
"","null","html-keyboard-response","10","14861","0.0-4.0-0.0","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","null","","","","","","","","",""
"","null","html-keyboard-response","11","15864","0.0-4.0-1.0","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","null","","","","","","","","",""
